cycle,object,x,y,z,v,snr,noise
1,1,-0.010227886028587818,0.15506330132484436,-0.29660868644714355,0.0,165,574
1,2,0.0,0.19425027072429657,-0.37076085805892944,0.0,157,588
1,3,0.0,3.805626392364502,-0.5881034731864929,0.0,142,642
1,4,0.0,3.905035972595215,-0.4807106554508209,0.0,245,636
1,5,0.0,3.98812198638916,-0.49093854427337646,0.0,279,622
1,6,0.0,4.0712080001831055,-0.5011664628982544,0.0,241,615
1,7,0.0,0.13407933712005615,-0.3068365752696991,0.12233256548643112,158,543
1,8,0.0,0.16759911179542542,-0.38354572653770447,0.12233256548643112,151,555
1,9,0.11762069165706635,3.7837514877319336,-0.7057241797447205,0.12233256548643112,133,613
1,10,0.12017766386270523,3.866007089614868,-0.7210659384727478,0.12233256548643112,234,608
1,11,0.12273463606834412,3.969191074371338,-0.613673210144043,0.12233256548643112,268,595
1,12,0.1252916157245636,4.051882743835449,-0.6264580488204956,0.12233256548643112,230,586
1,13,1.1889917850494385,1.9267550706863403,1.2682578563690186,-0.24466513097286224,139,454
1,14,0.5369639992713928,2.8113811016082764,0.6264580488204956,-0.24466513097286224,123,460
1,15,-0.010227886028587818,0.17322637140750885,-0.286380797624588,-0.12233256548643112,152,548
1,16,-0.012784857302904129,0.21653294563293457,-0.3579759895801544,-0.12233256548643112,146,559
1,17,0.0,3.805626392364502,-0.5881034731864929,-0.12233256548643112,145,600
1,18,0.0,3.905035972595215,-0.4807106554508209,-0.12233256548643112,249,592
1,19,0.0,3.98812198638916,-0.49093854427337646,-0.12233256548643112,282,580
1,20,0.0,4.084681034088135,-0.3758748471736908,-0.12233256548643112,243,573
2,1,0.0,0.15540023148059845,-0.29660868644714355,0.0,153,585
2,2,0.0,0.19425027072429657,-0.37076085805892944,0.0,150,594
2,3,0.0,3.805626392364502,-0.5881034731864929,0.0,142,640
2,4,0.0,3.905035972595215,-0.4807106554508209,0.0,247,633
2,5,0.0,3.98812198638916,-0.49093854427337646,0.0,274,627
2,6,0.0,4.0712080001831055,-0.5011664628982544,0.0,231,625
2,7,0.0,0.13407933712005615,-0.3068365752696991,0.12233256548643112,139,559
2,8,0.0,0.16759911179542542,-0.38354572653770447,0.12233256548643112,137,567
2,9,0.0,3.785579204559326,-0.7057241797447205,0.12233256548643112,129,614
2,10,0.0,3.888357400894165,-0.6008883118629456,0.12233256548643112,232,608
2,11,0.0,3.971088409423828,-0.613673210144043,0.12233256548643112,258,604
2,12,0.1252916157245636,4.051882743835449,-0.6264580488204956,0.12233256548643112,214,602
2,13,0.5932173728942871,2.1476635932922363,0.9639782309532166,-0.24466513097286224,143,453
2,14,0.6136731505393982,2.254584550857544,0.9205097556114197,-0.24466513097286224,141,452
2,15,-0.010227886028587818,0.17322637140750885,-0.286380797624588,-0.12233256548643112,156,543
2,16,0.0,0.19425027072429657,-0.37076085805892944,-0.12233256548643112,152,552
2,17,0.0,3.8219501972198486,-0.4704827666282654,-0.12233256548643112,147,597
2,18,0.0,3.905035972595215,-0.4807106554508209,-0.12233256548643112,251,589
2,19,0.0,4.0013203620910645,-0.36820390820503235,-0.12233256548643112,278,584
2,20,0.0,4.084681034088135,-0.3758748471736908,-0.12233256548643112,236,581
3,1,-0.010227886028587818,0.15506330132484436,-0.29660868644714355,0.0,162,577
3,2,0.0,0.19425027072429657,-0.37076085805892944,0.0,155,587
3,3,0.11762069165706635,3.8038082122802734,-0.5881034731864929,0.0,149,633
3,4,0.0,3.905035972595215,-0.4807106554508209,0.0,254,626
3,5,0.0,3.98812198638916,-0.49093854427337646,0.0,281,620
3,6,0.1252916157245636,4.069279670715332,-0.5011664628982544,0.0,243,614
3,7,0.0,0.13407933712005615,-0.3068365752696991,0.12233256548643112,150,550
3,8,0.0,0.16759911179542542,-0.38354572653770447,0.12233256548643112,144,560
3,9,0.2352413833141327,3.7983486652374268,-0.5881034731864929,0.12233256548643112,151,593
3,10,0.12017766386270523,3.8864996433258057,-0.6008883118629456,0.12233256548643112,252,589
3,11,0.12273463606834412,3.969191074371338,-0.613673210144043,0.12233256548643112,278,584
3,12,0.1252916157245636,4.051882743835449,-0.6264580488204956,0.12233256548643112,239,578
3,13,0.5932173728942871,2.1476635932922363,0.9639782309532166,-0.24466513097286224,153,445
3,14,0.6136731505393982,2.2217211723327637,0.997218906879425,-0.24466513097286224,160,442
3,15,-0.010227886028587818,0.17322637140750885,-0.286380797624588,-0.12233256548643112,151,547
3,16,-0.012784857302904129,0.21653294563293457,-0.3579759895801544,-0.12233256548643112,144,559
3,17,0.11762069165706635,3.8201396465301514,-0.4704827666282654,-0.12233256548643112,141,601
3,18,0.0,3.905035972595215,-0.4807106554508209,-0.12233256548643112,247,593
3,19,0.0,4.0013203620910645,-0.36820390820503235,-0.12233256548643112,276,587
3,20,0.0,4.084681034088135,-0.3758748471736908,-0.12233256548643112,237,580
4,1,-0.010227886028587818,0.15506330132484436,-0.29660868644714355,0.0,161,577
4,2,0.0,0.19425027072429657,-0.37076085805892944,0.0,158,587
4,3,0.0,3.785579204559326,-0.7057241797447205,0.0,162,621
4,4,0.0,3.888357400894165,-0.6008883118629456,0.0,262,617
4,5,0.0,3.98812198638916,-0.49093854427337646,0.0,284,617
4,6,0.1252916157245636,4.069279670715332,-0.5011664628982544,0.0,242,614
4,7,0.0,0.13407933712005615,-0.3068365752696991,0.12233256548643112,150,550
4,8,0.0,0.16759911179542542,-0.38354572653770447,0.12233256548643112,149,557
4,9,0.0,3.761749744415283,-0.8233448266983032,0.12233256548643112,164,580
4,10,0.12017766386270523,3.866007089614868,-0.7210659384727478,0.12233256548643112,264,576
4,11,0.12273463606834412,3.969191074371338,-0.613673210144043,0.12233256548643112,291,571
4,12,0.1252916157245636,4.051882743835449,-0.6264580488204956,0.12233256548643112,248,569
4,13,1.0304595232009888,2.2723963260650635,0.7133950591087341,-0.24466513097286224,165,452
4,14,1.0637001991271973,2.3456995487213135,0.7364078164100647,-0.24466513097286224,176,448
4,15,0.608559250831604,2.746234655380249,0.4346851706504822,-0.24466513097286224,151,451
4,16,-0.010227886028587818,0.17322637140750885,-0.286380797624588,-0.12233256548643112,158,542
4,17,-0.012784857302904129,0.21653294563293457,-0.3579759895801544,-0.12233256548643112,153,552
4,18,-0.11762069165706635,3.8038082122802734,-0.5881034731864929,-0.12233256548643112,144,600
4,19,0.0,3.905035972595215,-0.4807106554508209,-0.12233256548643112,244,596
4,20,0.0,4.0013203620910645,-0.36820390820503235,-0.12233256548643112,271,591
4,21,0.0,4.084681034088135,-0.3758748471736908,-0.12233256548643112,231,586
5,1,-0.010227886028587818,0.15506330132484436,-0.29660868644714355,0.0,169,570
