cycle,object,x,y,z,v,snr,noise
1,1,0.0,0.15540023148059845,-0.29660868644714355,0.0,113,625
1,2,0.0,1.2292886972427368,-0.5318500995635986,0.0,180,638
1,3,0.0,1.2864410877227783,-0.608559250831604,0.0,272,621
1,4,0.0,1.3621140718460083,-0.6443568468093872,0.0,295,600
1,5,-0.04858245700597763,1.436966061592102,-0.6801543831825256,0.0,234,589
1,6,0.0,0.13407933712005615,-0.3068365752696991,0.12233256548643112,115,586
1,7,0.0,1.2107681035995483,-0.572761595249176,0.12233256548643112,182,597
1,8,0.0,1.2864410877227783,-0.608559250831604,0.12233256548643112,274,581
1,9,0.0,1.3393739461898804,-0.6903823614120483,0.12233256548643112,297,559
1,10,-0.04858245700597763,1.412948727607727,-0.7287368774414062,0.12233256548643112,236,548
1,11,5.420779705047607,4.778678894042969,-5.149740695953369,0.7339953780174255,145,424
1,12,4.065585136413574,5.4602813720703125,5.691818714141846,0.7339953780174255,145,424
1,13,0.0,1.2292886972427368,-0.5318500995635986,-0.12233256548643112,177,602
1,14,-0.04346851631999016,1.323365330696106,-0.5216222405433655,-0.12233256548643112,265,590
1,15,-0.046025488525629044,1.3821836709976196,-0.5983313322067261,-0.12233256548643112,286,569
1,16,-0.04858245700597763,1.458971619606018,-0.6315719485282898,-0.12233256548643112,225,558
2,1,0.0,0.15540023148059845,-0.29660868644714355,0.0,114,624
2,2,0.0,1.2292886972427368,-0.5318500995635986,0.0,179,639
2,3,0.0,1.2864410877227783,-0.608559250831604,0.0,271,623
2,4,0.0,1.3621140718460083,-0.6443568468093872,0.0,295,600
2,5,-0.04858245700597763,1.436966061592102,-0.6801543831825256,0.0,233,590
2,6,0.0,1.2107681035995483,-0.572761595249176,0.12233256548643112,178,601
2,7,0.0,1.2864410877227783,-0.608559250831604,0.12233256548643112,268,587
2,8,0.0,1.3393739461898804,-0.6903823614120483,0.12233256548643112,291,565
2,9,0.0,1.4137836694717407,-0.7287368774414062,0.12233256548643112,229,555
2,10,0.0,1.2292886972427368,-0.5318500995635986,-0.12233256548643112,176,602
2,11,-0.04346851631999016,1.323365330696106,-0.5216222405433655,-0.12233256548643112,266,589
2,12,-0.046025488525629044,1.3821836709976196,-0.5983313322067261,-0.12233256548643112,288,568
2,13,-0.04858245700597763,1.458971619606018,-0.6315719485282898,-0.12233256548643112,227,556
3,1,0.0,0.15540023148059845,-0.29660868644714355,0.0,117,622
3,2,0.0,1.2292886972427368,-0.5318500995635986,0.0,179,639
3,3,0.0,1.2864410877227783,-0.608559250831604,0.0,272,622
3,4,0.0,1.3621140718460083,-0.6443568468093872,0.0,296,599
3,5,-0.04858245700597763,1.436966061592102,-0.6801543831825256,0.0,235,588
3,6,0.0,1.2107681035995483,-0.572761595249176,0.12233256548643112,178,601
