cycle,object,x,y,z,v,snr,noise
1,1,0.0,0.15540023148059845,-0.29660868644714355,0.0,146,595
1,2,0.0,0.19425027072429657,-0.37076085805892944,0.0,128,613
1,3,0.05625337362289429,1.769837737083435,-0.5062803626060486,0.0,189,613
1,4,0.05881034582853317,1.8661060333251953,-0.4704827666282654,0.0,257,630
1,5,0.06136731803417206,1.9472410678863525,-0.49093854427337646,0.0,261,638
1,6,0.06392429023981094,2.0283761024475098,-0.5113943219184875,0.0,204,640
1,7,-0.19177287817001343,0.8157572150230408,-1.9177286624908447,0.0,204,640
1,8,0.0,0.13407933712005615,-0.3068365752696991,0.12233256548643112,140,562
1,9,0.0,0.16759911179542542,-0.38354572653770447,0.12233256548643112,124,578
1,10,0.05625337362289429,1.7527695894241333,-0.5625337362289429,0.12233256548643112,185,578
1,11,0.05881034582853317,1.8502849340438843,-0.5292931199073792,0.12233256548643112,254,593
1,12,0.06136731803417206,1.9307321310043335,-0.5523058772087097,0.12233256548643112,258,602
1,13,0.06392429023981094,2.011179208755493,-0.5753186345100403,0.12233256548643112,204,601
1,14,-0.010227886028587818,0.17322637140750885,-0.286380797624588,-0.12233256548643112,145,558
1,15,0.0,0.21691004931926727,-0.3579759895801544,-0.12233256548643112,129,576
1,16,0.0,1.7858572006225586,-0.4500269889831543,-0.12233256548643112,187,576
1,17,0.0,1.8808748722076416,-0.4116724133491516,-0.12233256548643112,256,591
1,18,0.0,1.9626519680023193,-0.4295712113380432,-0.12233256548643112,260,600
1,19,0.06392429023981094,2.043429374694824,-0.4474700391292572,-0.12233256548643112,203,602
1,20,-0.19177287817001343,0.8157572150230408,-1.9177286624908447,-0.12233256548643112,203,602
2,1,0.0,0.15540023148059845,-0.29660868644714355,0.0,141,601
2,2,0.0,0.19425027072429657,-0.37076085805892944,0.0,125,617
2,3,0.05625337362289429,1.769837737083435,-0.5062803626060486,0.0,185,617
2,4,0.05881034582853317,1.8661060333251953,-0.4704827666282654,0.0,254,632
2,5,0.06136731803417206,1.9472410678863525,-0.49093854427337646,0.0,257,641
2,6,0.06392429023981094,2.0283761024475098,-0.5113943219184875,0.0,196,647
2,7,-0.19177287817001343,0.8157572150230408,-1.9177286624908447,0.0,196,647
2,8,0.0,0.13407933712005615,-0.3068365752696991,0.12233256548643112,141,562
2,9,0.0,0.16759911179542542,-0.38354572653770447,0.12233256548643112,122,581
2,10,0.05625337362289429,1.7527695894241333,-0.5625337362289429,0.12233256548643112,182,581
2,11,0.05881034582853317,1.8502849340438843,-0.5292931199073792,0.12233256548643112,251,596
2,12,0.06136731803417206,1.9307321310043335,-0.5523058772087097,0.12233256548643112,255,605
2,13,0.06392429023981094,2.011179208755493,-0.5753186345100403,0.12233256548643112,194,611
2,14,-0.010227886028587818,0.17322637140750885,-0.286380797624588,-0.12233256548643112,138,565
2,15,0.0,0.21691004931926727,-0.3579759895801544,-0.12233256548643112,123,581
2,16,0.0,1.7858572006225586,-0.4500269889831543,-0.12233256548643112,182,581
2,17,0.0,1.8808748722076416,-0.4116724133491516,-0.12233256548643112,250,597
2,18,0.0,1.9626519680023193,-0.4295712113380432,-0.12233256548643112,255,604
2,19,0.06392429023981094,2.043429374694824,-0.4474700391292572,-0.12233256548643112,195,610
2,20,-0.19177287817001343,0.8157572150230408,-1.9177286624908447,-0.12233256548643112,195,610
3,1,0.0,0.15540023148059845,-0.29660868644714355,0.0,144,598
3,2,0.0,0.19425027072429657,-0.37076085805892944,0.0,126,614
3,3,0.05625337362289429,1.769837737083435,-0.5062803626060486,0.0,188,614
3,4,0.05881034582853317,1.8661060333251953,-0.4704827666282654,0.0,255,631
3,5,0.06136731803417206,1.9472410678863525,-0.49093854427337646,0.0,259,640
3,6,0.06392429023981094,2.0283761024475098,-0.5113943219184875,0.0,196,647
3,7,0.0,0.13407933712005615,-0.3068365752696991,0.12233256548643112,138,564
3,8,0.0,0.16759911179542542,-0.38354572653770447,0.12233256548643112,122,579
3,9,0.05625337362289429,1.7527695894241333,-0.5625337362289429,0.12233256548643112,184,579
3,10,0.05881034582853317,1.8502849340438843,-0.5292931199073792,0.12233256548643112,254,593
