cycle,object,x,y,z,v,snr,noise
1,1,0.0,0.15540023148059845,-0.29660868644714355,0.0,157,576
1,2,0.0,0.19425027072429657,-0.37076085805892944,0.0,149,586
1,3,0.071595199406147,2.3031530380249023,-0.4295712113380432,0.0,119,653
1,4,0.07415217161178589,2.385408639907837,-0.44491302967071533,0.0,177,652
1,5,0.0,2.4819302558898926,-0.38354572653770447,0.0,169,648
1,6,0.0,0.15540023148059845,-0.29660868644714355,0.12233256548643112,150,543
1,7,0.0,0.19425027072429657,-0.37076085805892944,0.12233256548643112,142,554
1,8,0.071595199406147,2.2886409759521484,-0.5011664032936096,0.12233256548643112,119,614
1,9,0.07415217161178589,2.370378255844116,-0.5190652012825012,0.12233256548643112,175,615
1,10,0.07670914381742477,2.4676640033721924,-0.46025487780570984,0.12233256548643112,170,609
1,11,-0.010227886028587818,0.17322637140750885,-0.286380797624588,-0.12233256548643112,143,550
1,12,0.0,0.21691004931926727,-0.3579759895801544,-0.12233256548643112,136,558
1,13,0.0,2.3164680004119873,-0.3579759895801544,-0.12233256548643112,118,615
1,14,0.0,2.3991990089416504,-0.37076085805892944,-0.12233256548643112,178,612
1,15,0.0,2.4925761222839355,-0.3068365752696991,-0.12233256548643112,170,609
2,1,-0.010227886028587818,0.17322637140750885,-0.286380797624588,0.0,158,573
2,2,0.0,0.19425027072429657,-0.37076085805892944,0.0,149,585
2,3,0.071595199406147,2.3031530380249023,-0.4295712113380432,0.0,118,654
2,4,0.07415217161178589,2.385408639907837,-0.44491302967071533,0.0,173,656
2,5,0.0,2.4819302558898926,-0.38354572653770447,0.0,169,648
2,6,0.0,0.13407933712005615,-0.3068365752696991,0.12233256548643112,143,548
2,7,0.012784857302904129,0.16711078584194183,-0.38354572653770447,0.12233256548643112,134,560
2,8,0.071595199406147,2.2886409759521484,-0.5011664032936096,0.12233256548643112,116,617
2,9,0.07415217161178589,2.370378255844116,-0.5190652012825012,0.12233256548643112,173,617
2,10,0.07670914381742477,2.4676640033721924,-0.46025487780570984,0.12233256548643112,169,609
2,11,0.6136731505393982,3.2662858963012695,0.40911543369293213,0.12233256548643112,116,593
2,12,1.1046117544174194,3.7666754722595215,0.8591424226760864,-0.24466513097286224,112,463
