cycle,object,x,y,z,v,snr,noise
1,1,-0.010227886028587818,0.15506330132484436,-0.29660868644714355,0.0,145,585
1,2,-0.012784857302904129,0.19382908940315247,-0.37076085805892944,0.0,133,601
1,3,-0.4142294228076935,0.661952793598175,-1.2887136936187744,0.0,113,588
1,4,0.0,0.13407933712005615,-0.3068365752696991,0.12233256548643112,138,554
1,5,0.0,0.16759911179542542,-0.38354572653770447,0.12233256548643112,126,568
1,6,-0.010227886028587818,0.17322637140750885,-0.286380797624588,-0.12233256548643112,144,548
1,7,-0.012784857302904129,0.21653294563293457,-0.3579759895801544,-0.12233256548643112,132,563
2,1,-0.010227886028587818,0.15506330132484436,-0.29660868644714355,0.0,153,578
2,2,-0.012784857302904129,0.19382908940315247,-0.37076085805892944,0.0,138,597
2,3,-0.4142294228076935,0.661952793598175,-1.2887136936187744,0.0,121,581
2,4,0.0,0.13407933712005615,-0.3068365752696991,0.12233256548643112,143,550
2,5,0.0,0.16759911179542542,-0.38354572653770447,0.12233256548643112,132,563
2,6,-0.010227886028587818,0.17322637140750885,-0.286380797624588,-0.12233256548643112,153,540
2,7,-0.012784857302904129,0.21653294563293457,-0.3579759895801544,-0.12233256548643112,137,558
2,8,-0.4142294228076935,0.661952793598175,-1.2887136936187744,-0.12233256548643112,121,542
3,1,-0.010227886028587818,0.15506330132484436,-0.29660868644714355,0.0,158,574
3,2,-0.012784857302904129,0.19382908940315247,-0.37076085805892944,0.0,143,593
3,3,-0.4142294228076935,0.661952793598175,-1.2887136936187744,0.0,118,582
3,4,0.0,0.13407933712005615,-0.3068365752696991,0.12233256548643112,151,544
3,5,0.0,0.1346062570810318,-0.3963305950164795,0.12233256548643112,140,559
3,6,-0.010227886028587818,0.17322637140750885,-0.286380797624588,-0.12233256548643112,146,546
3,7,-0.012784857302904129,0.21653294563293457,-0.3579759895801544,-0.12233256548643112,132,563
4,1,0.0,0.13407933712005615,-0.3068365752696991,0.0,148,584
4,2,0.0,0.16759911179542542,-0.38354572653770447,0.0,136,599
4,3,-0.4142294228076935,0.661952793598175,-1.2887136936187744,0.0,113,588
4,4,0.0,0.10768508166074753,-0.31706446409225464,0.12233256548643112,146,547
4,5,0.0,0.1346062570810318,-0.3963305950164795,0.12233256548643112,134,563
4,6,0.5216222405433655,2.764065742492676,0.4346851706504822,-0.24466513097286224,135,448
4,7,-0.010227886028587818,0.15506330132484436,-0.29660868644714355,-0.12233256548643112,136,556
4,8,-0.012784857302904129,0.19382908940315247,-0.37076085805892944,-0.12233256548643112,125,570
5,1,-0.010227886028587818,0.15506330132484436,-0.29660868644714355,0.0,158,574
5,2,-0.012784857302904129,0.19382908940315247,-0.37076085805892944,0.0,143,592
5,3,-0.4142294228076935,0.661952793598175,-1.2887136936187744,0.0,124,577
5,4,0.0,0.13407933712005615,-0.3068365752696991,0.12233256548643112,144,548
5,5,0.0,0.16759911179542542,-0.38354572653770447,0.12233256548643112,132,562
5,6,1.0304595232009888,2.295778274536133,0.6341289281845093,0.24466513097286224,148,447
5,7,1.0637001991271973,2.3456995487213135,0.7364078164100647,0.24466513097286224,132,448
5,8,-0.010227886028587818,0.17322637140750885,-0.286380797624588,-0.12233256548643112,150,544
5,9,-0.012784857302904129,0.21653294563293457,-0.3579759895801544,-0.12233256548643112,137,559
5,10,-0.4142294228076935,0.661952793598175,-1.2887136936187744,-0.12233256548643112,115,548
6,1,-0.010227886028587818,0.15506330132484436,-0.29660868644714355,0.0,149,582
6,2,-0.012784857302904129,0.19382908940315247,-0.37076085805892944,0.0,134,598
