cycle,object,x,y,z,v,snr,noise
1,1,0.0,0.15540023148059845,-0.29660868644714355,0.0,168,566
1,2,0.012784857302904129,0.19382908940315247,-0.37076085805892944,0.0,163,575
1,3,-0.6315719485282898,0.38207876682281494,-1.408891201019287,0.0,133,564
1,4,0.0,0.15540023148059845,-0.29660868644714355,0.12233256548643112,152,542
1,5,0.012784857302904129,0.19382908940315247,-0.37076085805892944,0.12233256548643112,148,549
1,6,5.638122081756592,4.410391330718994,-5.101158142089844,-0.24466513097286224,127,435
1,7,4.027230262756348,5.114218711853027,5.906604290008545,-0.24466513097286224,127,435
1,8,5.691818714141846,4.452395439147949,-5.149740695953369,-0.24466513097286224,139,432
1,9,4.3366241455078125,4.937456130981445,5.962857723236084,-0.24466513097286224,139,432
1,10,0.0,0.1735280454158783,-0.286380797624588,-0.12233256548643112,172,523
1,11,0.0,0.21691004931926727,-0.3579759895801544,-0.12233256548643112,162,533
1,12,-0.6315719485282898,0.5296401381492615,-1.3603087663650513,-0.12233256548643112,134,524
2,1,0.0,0.15540023148059845,-0.29660868644714355,0.0,163,570
2,2,0.012784857302904129,0.19382908940315247,-0.37076085805892944,0.0,157,579
2,3,-0.6315719485282898,0.38207876682281494,-1.408891201019287,0.0,126,569
2,4,0.0,0.13407933712005615,-0.3068365752696991,0.12233256548643112,167,528
2,5,0.012784857302904129,0.16711078584194183,-0.38354572653770447,0.12233256548643112,162,535
2,6,-0.010227886028587818,0.17322637140750885,-0.286380797624588,-0.12233256548643112,152,540
2,7,0.0,0.21691004931926727,-0.3579759895801544,-0.12233256548643112,148,548
2,8,-0.6315719485282898,0.5296401381492615,-1.3603087663650513,-0.12233256548643112,117,539
3,1,0.0,0.15540023148059845,-0.29660868644714355,0.0,167,570
3,2,0.012784857302904129,0.19382908940315247,-0.37076085805892944,0.0,161,579
3,3,-0.6315719485282898,0.38207876682281494,-1.408891201019287,0.0,128,569
3,4,0.0,0.13407933712005615,-0.3068365752696991,0.12233256548643112,154,543
3,5,0.012784857302904129,0.16711078584194183,-0.38354572653770447,0.12233256548643112,150,551
3,6,1.0739279985427856,3.0899484157562256,1.2887136936187744,-0.24466513097286224,140,454
3,7,0.0,0.1735280454158783,-0.286380797624588,-0.12233256548643112,169,530
3,8,0.012784857302904129,0.21653294563293457,-0.3579759895801544,-0.12233256548643112,164,539
3,9,-0.6315719485282898,0.5296401381492615,-1.3603087663650513,-0.12233256548643112,127,531
4,1,0.0,0.15540023148059845,-0.29660868644714355,0.0,164,571
4,2,0.012784857302904129,0.19382908940315247,-0.37076085805892944,0.0,159,579
4,3,-0.6315719485282898,0.38207876682281494,-1.408891201019287,0.0,125,571
4,4,0.0,0.13407933712005615,-0.3068365752696991,0.12233256548643112,158,538
4,5,0.012784857302904129,0.16711078584194183,-0.38354572653770447,0.12233256548643112,153,546
4,6,5.101158142089844,5.514354705810547,-4.564194202423096,-0.36699768900871277,132,423
4,7,3.4902660846710205,5.191159725189209,6.175086498260498,-0.36699768900871277,132,423
4,8,5.420779705047607,5.055083751678467,-4.878701686859131,-0.36699768900871277,136,428
